# Source: http://physics.nist.gov/cgi-bin/Compositions/stand_alone.pl
ProtonNumber	Symbol	MassNumber	Mass	Abundance	StandardAtomicWeight
		132	131.9050613	0.001011	
55	Cs	133	132.9054519	1	132.9054519
		134	133.9053946	0.10435721	
		134	133.9045084	0.0241718	
		135	134.9056886	0.0659212	
		136	135.9072198	0.08857344	
		136	135.9045759	0.0785424	
58	Ce	136	135.9071721	0.001852	140.1161
		137	136.9058275	0.1123224	
		138	137.9052473	0.7169842	
57	La	138	137.9071124	0.000901	138.905477
		138	137.9059911	0.002512	
		139	138.9063533	0.999101	
		140	139.9054387	0.8845051	
59	Pr	141	140.9076528	1	140.907652
		142	141.9092443	0.1111451	
60	Nd	142	141.9077233	0.2725	144.2423
		143	142.9098143	0.1222	
		144	143.9100873	0.2383	
62	Sm	144	143.9119993	0.03077	150.362
		145	144.9125736	0.0831	
61	Pm	145	144.9127493		145
		146	145.9131169	0.1723	
		147	146.9151385		
		147	146.9148979	0.149918	
		148	147.9168933	0.0571	
		148	147.9148227	0.11241	
		149	148.9171847	0.13827	
		150	149.9208913	0.0562	
		150	149.9172755	0.07381	
63	Eu	151	150.9198502	0.47816	151.9641
		152	151.9197324	0.267516	
64	Gd	152	151.919791	0.00201	157.253
		153	152.9212303	0.52196	
		154	153.9222093	0.227529	
		154	153.9208656	0.02183	
		155	154.922622	0.148012	
		156	155.9221227	0.20479	
66	Dy	156	155.9242837	0.000563	162.5001
		157	156.9239601	0.15652	
		158	157.9241039	0.24847	
		158	157.9244094	0.000953	
65	Tb	159	158.9253468	1	158.925352
		160	159.9270541	0.218619	
		160	159.9251975	0.0232918	
		161	160.9269334	0.1888942	
		162	161.9267984	0.2547536	
68	Er	162	161.9287784	0.001395	167.2593
		163	162.9287312	0.2489642	
		164	163.9291748	0.2826054	
		164	163.9292003	0.016013	
67	Ho	165	164.9303221	1	164.930322
		166	165.9302931	0.3350336	
		167	166.9320482	0.228699	
		168	167.9323702	0.2697818	
70	Yb	168	167.9338975	0.00131	173.0545
69	Tm	169	168.9342133	1	168.934212
		170	169.9354643	0.1491036	
		170	169.9347618	0.030415	
		171	170.9363258	0.142857	
		172	171.9363815	0.218367	
		173	172.9382108	0.161327	
		174	173.9388621	0.318392	
72	Hf	174	173.9400463	0.00161	178.492
71	Lu	175	174.9407718	0.97412	174.96681
		176	175.9425717	0.127641	
		176	175.9426863	0.02592	
		176	175.9414086	0.05267	
		177	176.9432207	0.18609	
		178	177.9436988	0.27287	
		179	178.9458161	0.13622	
		180	179.94655	0.350816	
73	Ta	180	179.9474648	0.000122	180.947882
74	W	180	179.9467044	0.00121	183.841
		181	180.9479958	0.999882	
		182	181.9482043	0.265016	
		183	182.9502231	0.14314	
		184	183.9509313	0.30642	
76	Os	184	183.9524891	0.00021	190.233
75	Re	185	184.952955	0.37402	186.2071
		186	185.9543641	0.284319	
		186	185.9538382	0.01593	
		187	186.9557531	0.62602	
		187	186.9557505	0.01962	
		188	187.9558382	0.13248	
		189	188.9581475	0.16155	
		190	189.958447	0.26262	
78	Pt	190	189.9599326	0.000141	195.0849
77	Ir	191	190.960594	0.3732	192.2173
		192	191.9614807	0.407819	
		192	191.961038	0.007827	
		193	192.9629264	0.6272	
		194	193.9626804	0.3296799	
		195	194.9647912	0.338321	
		196	195.9649516	0.2524241	
80	Hg	196	195.9658333	0.00151	200.592
79	Au	197	196.9665688	1	196.9665694
		198	197.9678933	0.0716355	
		198	197.966769	0.09972	
		199	198.9682799	0.168722	
		200	199.968326	0.231019	
		201	200.9703024	0.13189	
		202	201.9706431	0.298626	
81	Tl	203	202.9723442	0.29521	204.38332
		204	203.9734939	0.068715	
82	Pb	204	203.9730436	0.0141	207.21
		205	204.9744275	0.70481	
		206	205.9744653	0.2411	
		207	206.9758969	0.2211	
		208	207.9766521	0.5241	
83	Bi	209	208.9803987	1	208.980401
84	Po	209	208.9824304		209
		210	209.9828737		
85	At	210	209.9871488		210
		211	210.9874963		
86	Rn	211	210.9906017		222
		220	220.011394		
		222	222.0175777		
87	Fr	223	223.0197359		223
88	Ra	223	223.0185022		226
		224	224.0202118		
		226	226.0254098		
89	Ac	227	227.0277521		227
		228	228.0310703		
90	Th	230	230.0331338		
91	Pa	231	231.035884	1	231.035882
		232	232.0380553	1	232.038062
92	U	233	233.0396352		
		234	234.0409521	0.0000545	238.028913
		235	235.0439299	0.0072046	
		236	236.045568		
93	Np	236	236.0465705		237
		237	237.0481734		
		238	238.0507882	0.9927421	
94	Pu	238	238.0495599		244
		239	239.0521634		
		240	240.0538135		
		241	241.0568515		
95	Am	241	241.0568291		243
		242	242.0587426		
		243	243.0613811		
96	Cm	243	243.0613891		247
		244	244.0642045		
		244	244.0627526		
		245	245.0654912		
		246	246.0672237		
		247	247.0703545		
97	Bk	247	247.0703076		247
		248	248.0723495		
		249	249.0749867		
98	Cf	249	249.0748535		251
		250	250.0764061		
		251	251.0795875		
		252	252.0816265		
99	Es	252	252.0829805		252
100	Fm	257	257.0951057		257
101	Md	258	258.0984315		258
102	No	259	259.1010311		259
		260	260.1036534		
103	Lr	262	262.1096322		262
104	Rf	265	265.1167046		265
105	Db	268	268.1254557		268
108	Hs	270	270.1346531		270
106	Sg	271	271.133477		271
107	Bh	272	272.1380365		272
109	Mt	276	276.1511673		276
111	Rg	280	280.164478		280
110	Ds	281	281.1620678		281
112	Cn	285	285.1741178		285

